numbeo_rank,country,quality_of_life_index,purchasing_power_index,safety_index,health_care_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_time_index,pollution_index,climate_index,personal_income_tax_rate,education_index,cluster,cluster_name,sum_of_ranks_label
63,Armenia,119.7,38.800000000000004,77.9,59.0,39.6,19.4,29.3,62.3,63.4,20.0,0.78,1,Cluster_2,Rank 4
64,Argentina,118.0,41.9,36.6,68.0,35.7,17.7,43.8,50.8,98.3,35.0,0.9,3,Cluster_4,Rank 5A
65,Brazil,117.9,43.2,35.5,59.1,25.6,15.2,40.4,52.9,97.4,27.5,0.71,3,Cluster_4,Rank 5A
66,Tunisia,117.3,35.29999999999999,54.9,57.2,25.5,12.2,33.4,70.1,93.2,35.0,0.67,6,Cluster_7,Rank 5B
67,Russia,116.6,57.6,61.3,61.5,22.3,14.3,43.3,59.0,47.4,13.0,0.85,1,Cluster_2,Rank 4
68,Ukraine,115.0,47.4,53.0,55.9,24.6,13.6,37.9,62.1,70.7,18.0,0.74,1,Cluster_2,Rank 4
69,Azerbaijan,113.5,42.4,68.2,48.3,29.5,15.6,40.6,72.7,91.4,25.0,0.71,1,Cluster_2,Rank 4
70,Morocco,110.8,42.6,52.2,46.8,27.2,13.4,35.2,68.7,85.2,38.0,0.61,6,Cluster_7,Rank 5B
71,Colombia,108.8,36.89999999999999,39.1,68.6,26.0,18.1,47.0,62.5,98.4,39.0,0.7,3,Cluster_4,Rank 5A
72,Chile,107.3,52.2,39.5,63.5,35.1,15.6,36.0,77.5,90.2,40.0,0.84,3,Cluster_4,Rank 5A
73,Kazakhstan,106.8,52.3,54.8,60.7,26.6,9.9,35.5,73.2,39.8,10.0,0.82,1,Cluster_2,Rank 4
74,Thailand,106.2,47.2,62.7,77.5,33.7,25.2,38.4,75.7,69.4,35.0,0.73,0,Cluster_1,Rank 3
75,Albania,104.3,43.7,55.3,48.2,39.9,15.3,36.7,77.0,86.4,23.0,0.74,1,Cluster_2,Rank 4
76,Pakistan,104.2,30.9,56.3,59.3,17.8,14.3,38.0,73.3,71.9,35.0,0.37,6,Cluster_7,Rank 5B
77,Indonesia,102.4,34.7,54.0,60.9,24.6,14.9,42.8,68.0,63.8,35.0,0.68,6,Cluster_7,Rank 5B
78,Kenya,101.7,35.9,44.0,62.0,28.2,18.5,50.6,69.0,99.8,35.0,0.57,3,Cluster_4,Rank 5A
79,Lebanon,100.1,36.0,53.2,63.7,38.8,15.0,38.7,89.4,94.7,25.0,0.62,6,Cluster_7,Rank 5B
80,Philippines,96.9,38.1,56.9,67.3,28.8,22.2,41.3,72.4,61.2,35.0,0.66,6,Cluster_7,Rank 5B
81,Vietnam,95.8,43.4,59.2,61.3,26.6,25.8,29.7,84.2,71.2,35.0,0.65,6,Cluster_7,Rank 5B
82,Peru,86.0,39.10000000000001,32.9,56.3,29.4,18.4,49.8,82.4,97.7,30.0,0.74,3,Cluster_4,Rank 5A
83,Iran,85.6,29.1,49.5,52.8,23.6,19.7,46.7,75.2,71.0,28.9,0.75,3,Cluster_4,Rank 5A
84,Egypt,85.3,21.4,52.7,47.3,19.0,18.2,48.0,82.7,92.0,27.5,0.69,3,Cluster_4,Rank 5A
85,Sri Lanka,81.1,18.5,57.9,71.4,33.5,34.2,54.5,57.9,59.1,18.0,0.75,3,Cluster_4,Rank 5A
86,Venezuela,79.7,16.0,19.300000000000004,38.7,35.9,15.1,32.8,75.1,99.9,34.0,0.7,3,Cluster_4,Rank 5A
87,Bangladesh,73.9,35.9,38.4,42.2,20.9,12.8,57.1,85.4,71.3,25.0,0.58,3,Cluster_4,Rank 5A
88,Nigeria,21.5,11.099999999999994,33.4,49.1,26.4,45.7,65.3,87.9,60.8,24.0,0.55,3,Cluster_4,Rank 5A
